,Movie,Year,Duration,Rating,Voting,Description
0,Leo,2023,2h 44m,7.4,"48,741","<div class=""ipc-html-content-inner-div"">Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.</div>"
1,Jigarthanda Double X,2023,2h 52m,8.3,"3,831","<div class=""ipc-html-content-inner-div"">In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.</div>"
2,Chithha,2023,2h 20m,8.3,"2,836","<div class=""ipc-html-content-inner-div"">A man is raising his niece like his own daughter, and everything appears normal in their life until the little girl goes missing.</div>"
3,Jailer,2023,2h 48m,7.1,"29,817","<div class=""ipc-html-content-inner-div"">A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?</div>"
4,Vikram,2022,2h 55m,8.3,"70,913","<div class=""ipc-html-content-inner-div"">A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.</div>"
5,Jai Bhim,2021,2h 44m,8.7,"213,082","<div class=""ipc-html-content-inner-div"">When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.</div>"
6,800,2023,2h 38m,8.1,"3,648","<div class=""ipc-html-content-inner-div"">The biopic promises to bring Muttiah Muralitharan's inspirational journey to a global audience, shedding light on the challenges and triumphs that defined his illustrious cricket career.</div>"
7,Kaithi,2019,2h 25m,8.4,"40,510","<div class=""ipc-html-content-inner-div"">Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.</div>"
8,47 Meters Down,2017,1h 29m,5.6,"60,037","<div class=""ipc-html-content-inner-div"">Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.</div>"
9,Parking,2023,2h 7m,8.6,"1,389","<div class=""ipc-html-content-inner-div"">An elderly man and a youngster who are tenants sharing two different floors of an individual house fight over a parking space.</div>"
10,Annapoorani,2023,2h 26m,5.0,211,"<div class=""ipc-html-content-inner-div"">A girl born in an orthodox family aspires to become India's best chef. She faces events and challenges on her way and goes beyond her conventional beliefs and prejudices to achieve her dream.</div>"
11,Irugapatru,2023,2h 33m,8.2,"2,178","<div class=""ipc-html-content-inner-div"">Follows three couples, navigating inevitable challenges, and seeking self-discovery to salvage their relationships</div>"
12,Varisu,2023,2h 49m,6.0,"37,039","<div class=""ipc-html-content-inner-div"">Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.</div>"
13,Master,2021,2h 59m,7.4,"82,139","<div class=""ipc-html-content-inner-div"">An alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities.</div>"
14,Mersal,2017,2h 52m,7.5,"37,548","<div class=""ipc-html-content-inner-div"">A police officer arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge, corruption and magic.</div>"
15,Rangoli,2023,2h 10m,7.9,607,"<div class=""ipc-html-content-inner-div"">A school boy frequently overcomes uncertain issues. Later realize his family struggles because of him.</div>"
16,Sila Nodigalil,2023,1h 34m,8.5,"5,043","<div class=""ipc-html-content-inner-div"">When a married cosmetic surgeon Raj Varadhan's girlfriend Maya Pillai accidentally dies of an overdose, his life takes him on an unexpected ride. Will he be able to hide his secrets from his wife Medha Varadhan?</div>"
17,Adithya Varma,2019,2h 48m,6.2,"1,116","<div class=""ipc-html-content-inner-div"">A brilliant and short-tempered young surgeon goes down a self-destructive path when the love of his life is forced to marry another man.</div>"
18,Jigarthanda,2014,2h 51m,8.2,"12,995","<div class=""ipc-html-content-inner-div"">An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.</div>"
19,Joe,2023,2h 27m,8.2,334,"<div class=""ipc-html-content-inner-div"">The romance of a young man who is in love with his college mate ends in heartbreak.</div>"
20,Viduthalai: Part 1,2023,2h 30m,8.3,"7,566","<div class=""ipc-html-content-inner-div"">A police officer is recruited to capture the leader of a separatist group.</div>"
21,Por Thozhil,2023,2h 27m,8.0,"8,492","<div class=""ipc-html-content-inner-div"">A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.</div>"
22,Aalavandhan,2001,2h 57m,7.2,"2,860","<div class=""ipc-html-content-inner-div"">Nandu and Vijay are brothers, who were abused by their stepmother during their younger days. Nandhu, who is mentally ill, decides to kill Vijay's fiancee as he visualizes her as his stepmother.</div>"
23,Paruthiveeran,2007,2h 42m,8.2,"3,959","<div class=""ipc-html-content-inner-div"">A village tough finally succumbs to the unconditional love of his angelic cousin, but his romance faces insurmountable challenges, including family opposition and his own delinquent personality.</div>"
24,Mark Antony,2023,2h 30m,6.7,"4,430","<div class=""ipc-html-content-inner-div"">Two gangsters, Mark and Antony acquire a mobile phone that has the ability to time travel.</div>"
25,Thiruchitrambalam,2022,2h 11m,7.9,"14,015","<div class=""ipc-html-content-inner-div"">Thiruchitrambalam lives with his father and grandfather. He blames the former for the loss of his mother and sister and is not on good terms with the latter. Meanwhile, his love life is not so successful.</div>"
26,Japan,2023,2h 36m,3.3,"1,286","<div class=""ipc-html-content-inner-div"">A daring robbery in a jewellery showroom kickstarts the hunt for Japan, a notorious robber, who is a law unto himself.</div>"
27,Kushi,2023,2h 43m,5.5,"7,212","<div class=""ipc-html-content-inner-div"">Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader.</div>"
28,Soorarai Pottru,2020,2h 33m,8.7,"122,080","<div class=""ipc-html-content-inner-div"">Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.</div>"
29,Paramporul,2023,2h 26m,7.4,"1,558","<div class=""ipc-html-content-inner-div"">Revolves around the smuggling mafia of sacred temple idols and a cop who involves with a smuggler to make money out of a sacred idol, possessed by a murder victim.</div>"
30,Raatchasan,2018,2h 50m,8.3,"49,195","<div class=""ipc-html-content-inner-div"">A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.</div>"
31,Iraivan,2023,2h 34m,4.6,"1,771","<div class=""ipc-html-content-inner-div"">A city lives in fear of a psychotic killer, and confidence in the police wanes. Arjun and Andrew finally arrest the killer, but he escapes and chaos reigns again.</div>"
32,Beast,2022,2h 35m,5.2,"35,787","<div class=""ipc-html-content-inner-div"">After a shopping mall in Chennai gets hijacked by terrorists who hold the visitors as hostages, Veera Raghavan, a spy also trapped in the mall, decides to save the hostages by eliminating the terrorists.</div>"
33,Dada,2023,2h 13m,8.2,"5,142","<div class=""ipc-html-content-inner-div"">A couple in love, accidentally become teenage parents. Unpleasant situations make them fall apart. Manikandan, left alone with his son, struggles as a single teenage father. Fate owns him, bringing Sindhu back into his life.</div>"
34,96,2018,2h 38m,8.5,"35,243","<div class=""ipc-html-content-inner-div"">Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.</div>"
35,Noodles,2023,1h 46m,6.7,645,"<div class=""ipc-html-content-inner-div"">Harish and Sheela as a couple, who get into a small tiff with the local inspector. When the fight gets out of hand, they are forced to deal with Madhan, who is enquiring Police officer in the case.</div>"
36,Ra Ra Sarasukku Ra Ra,2023,1h 56m,8.4,97,"<div class=""ipc-html-content-inner-div"">The story tells the story of three women caught up in a random murder and their struggles to escape.</div>"
37,Ra.One,2011,2h 36m,4.8,"45,808","<div class=""ipc-html-content-inner-div"">When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.</div>"
38,Kolai,2023,2h 6m,5.1,586,"<div class=""ipc-html-content-inner-div"">When a famous model is killed, a smart detective investigates after realizing the incident seems to be a mystery.</div>"
39,Raid,2023,2h 5m,5.6,76,"<div class=""ipc-html-content-inner-div"">Prabhakaran, an individual from Chennai takes an oath to eradicate wrongdoers in society. However. he faces many struggles and problems from the enemies.</div>"
40,Vikram Vedha,2017,2h 27m,8.2,"49,607","<div class=""ipc-html-content-inner-div"">Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.</div>"
41,Conjuring Kannappan,2023,2h 20m,8.8,85,"<div class=""ipc-html-content-inner-div"">A man comes begins to have nightmares where he experiences things in sleep have an effect on him in real life, too. But as his derangement spreads across his family and friends, they decide to go to the root of the cause.</div>"
42,Dhruva Natchathiram Chapter 1: Yuddha Kaandam,2023,2h 25m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">John, a New York-based undercover agent and his team is entrusted with a secret mission to bring back the leader of the team who has gone missing mysteriously.</div>"
43,Chandramukhi 2,2023,2h 52m,2.6,"2,899","<div class=""ipc-html-content-inner-div"">A wealthy family faces numerous problems and reunites with their long-lost relatives to pray to their deity for solutions, unaware it will reawaken the feud between a classical dancer, Chandramukhi and Vettaiyan Raja from centuries ago.</div>"
44,Bigil,2019,2h 59m,6.7,"23,661","<div class=""ipc-html-content-inner-div"">Michael gives up his dream of becoming a footballer after his father's murder. However, a friend convinces him to coach a women's football team and turn his life around.</div>"
45,Thunivu,2023,2h 26m,6.1,"28,870","<div class=""ipc-html-content-inner-div"">A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.</div>"
46,The Road,2023,2h 23m,5.9,844,"<div class=""ipc-html-content-inner-div"">How a national highway becomes a primary conflict in the lives of Meera, a journalist, and Maya, a college professor, and makes their life upside down.</div>"
47,Sathiya Sodhanai,2023,1h 49m,5.8,112,"<div class=""ipc-html-content-inner-div"">Influential villager is murdered. Pradeep comes across the dead body and discovers jewell. He decides to surrender the jewels to the police but the greedy officials at the station refuse to believe his true intentions take him into custody.</div>"
48,Vaathi,2023,2h 19m,7.3,"9,616","<div class=""ipc-html-content-inner-div"">The life of a young man and his struggles against the privatization of education.</div>"
49,Pebbles,2021,1h 15m,6.8,682,"<div class=""ipc-html-content-inner-div"">A young boy travels with his violent and alcoholic father to bring back his mother, who has run away from home due to his abuse.</div>"
50,Godfather,2022,2h 37m,5.2,"7,436","<div class=""ipc-html-content-inner-div"">After the death of a political leader, a mysterious man steps in to ascend the throne.</div>"
51,Love Today,2022,2h 34m,8.1,"14,884","<div class=""ipc-html-content-inner-div"">Two young lovers, who are made to exchange their phones for a day and what happens due to that.</div>"
52,Good Night,2023,2h 22m,7.7,"3,915","<div class=""ipc-html-content-inner-div"">A simple boy-next-door whose biggest problem in life is his snoring, falls in love with a girl. Follow how the couple overcome his sleeping problem while living together.</div>"
53,24,2016,2h 44m,7.9,"23,603","<div class=""ipc-html-content-inner-div"">A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son.</div>"
54,Ratham,2023,2h 22m,6.5,425,"<div class=""ipc-html-content-inner-div"">An aloof editor of publication who is forced to comback to his old workplace when a friend gets murdered by a crazy fan.</div>"
55,Ghajini,2005,2h 55m,7.5,"15,443","<div class=""ipc-html-content-inner-div"">Sanjay Ramaswamy, who is suffering from short-term memory loss, sets out on a quest to find and eliminate the people responsible for his ladylove Kalpana's murder.</div>"
56,Nota,2018,2h 25m,6.2,"3,037","<div class=""ipc-html-content-inner-div"">A bachelor who is unaware of the political world is appointed a Chief Minister when his corrupt father retires.</div>"
57,Nayakan,1987,2h 25m,8.6,"22,105","<div class=""ipc-html-content-inner-div"">A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.</div>"
58,Maanagaram,2017,2h 17m,8.1,"7,592","<div class=""ipc-html-content-inner-div"">Four youngsters arrive in a big city and their lives become interlinked.</div>"
59,Enthiran,2010,2h 54m,7.1,"29,517","<div class=""ipc-html-content-inner-div"">A brilliant scientist creates a humanoid robot to protect mankind, but things go awry when human emotions are programmed and inner turmoil causes the robot to switch sides.</div>"
60,Kanchana 3,2019,2h 44m,4.2,"1,661","<div class=""ipc-html-content-inner-div"">A young man who gets easily scared is possessed by a ghost that is seeking revenge.</div>"
61,Theri,2016,2h 37m,7.3,"22,550","<div class=""ipc-html-content-inner-div"">When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces.</div>"
62,Asuran,2019,2h 21m,8.4,"32,595","<div class=""ipc-html-content-inner-div"">The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.</div>"
63,Thuppakki,2012,2h 45m,8.1,"37,321","<div class=""ipc-html-content-inner-div"">An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.</div>"
64,Fight Club,2023,Nil,Nil,Nil,
65,Pizza,2012,2h 7m,8.0,"8,523","<div class=""ipc-html-content-inner-div"">A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.</div>"
66,Super Deluxe,2019,2h 56m,8.3,"16,968","<div class=""ipc-html-content-inner-div"">An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.</div>"
67,Maanaadu,2021,2h 27m,8.3,"24,760","<div class=""ipc-html-content-inner-div"">On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.</div>"
